68  ,  500  ,13
1,      78,  501,                  XN-GEN川俄公堡#1,                                             无功功率Q,  0,                      WholeNet,Output08.txt,     8
1,      79,  501,                  XN-GEN川二道桥#1,                                             有功功率P,  0,                      WholeNet,Output08.txt,     9
1,      80,  501,                  XN-GEN川二道桥#1,                                             无功功率Q,  0,                      WholeNet,Output08.txt,    10
1,      81,  501,                  XN-GEN川二道桥#2,                                             有功功率P,  0,                      WholeNet,Output09.txt,     1
1,      82,  501,                  XN-GEN川二道桥#2,                                             无功功率Q,  0,                      WholeNet,Output09.txt,     2
1,      83,  501,                  XN-GEN川二滩#01,                                             有功功率P,  0,                      WholeNet,Output09.txt,     3
1,      84,  501,                  XN-GEN川二滩#01,                                             无功功率Q,  0,                      WholeNet,Output09.txt,     4
1,      85,  501,                  XN-GEN川二滩#02,                                             有功功率P,  0,                      WholeNet,Output09.txt,     5
1,      86,  501,                  XN-GEN川二滩#02,                                             无功功率Q,  0,                      WholeNet,Output09.txt,     6
1,      87,  501,                  XN-GEN川二滩#03,                                             有功功率P,  0,                      WholeNet,Output09.txt,     7
1,      88,  501,                  XN-GEN川二滩#03,                                             无功功率Q,  0,                      WholeNet,Output09.txt,     8
1,      89,  501,                  XN-GEN川二滩#04,                                             有功功率P,  0,                      WholeNet,Output09.txt,     9
1,      90,  501,                  XN-GEN川二滩#04,                                             无功功率Q,  0,                      WholeNet,Output09.txt,    10
1,      91,  501,                  XN-GEN川方山#61,                                             有功功率P,  0,                      WholeNet,Output10.txt,     1
1,      92,  501,                  XN-GEN川方山#61,                                             无功功率Q,  0,                      WholeNet,Output10.txt,     2
1,      93,  501,                  XN-GEN川飞仙关#1,                                             有功功率P,  0,                      WholeNet,Output10.txt,     3
1,      94,  501,                  XN-GEN川飞仙关#1,                                             无功功率Q,  0,                      WholeNet,Output10.txt,     4
1,      95,  501,                  XN-GEN川飞仙关#2,                                             有功功率P,  0,                      WholeNet,Output10.txt,     5
1,      96,  501,                  XN-GEN川飞仙关#2,                                             无功功率Q,  0,                      WholeNet,Output10.txt,     6
1,      97,  501,                 XN-GEN川丰岩堡#01,                                             有功功率P,  0,                      WholeNet,Output10.txt,     7
1,      98,  501,                 XN-GEN川丰岩堡#01,                                             无功功率Q,  0,                      WholeNet,Output10.txt,     8
1,      99,  501,                 XN-GEN川丰岩堡#02,                                             有功功率P,  0,                      WholeNet,Output10.txt,     9
1,     100,  501,                 XN-GEN川丰岩堡#02,                                             无功功率Q,  0,                      WholeNet,Output10.txt,    10
1,     101,  501,                  XN-GEN川凤仪#01,                                             有功功率P,  0,                      WholeNet,Output11.txt,     1
1,     102,  501,                  XN-GEN川凤仪#01,                                             无功功率Q,  0,                      WholeNet,Output11.txt,     2
1,     103,  501,                  XN-GEN川凤仪#02,                                             有功功率P,  0,                      WholeNet,Output11.txt,     3
1,     104,  501,                  XN-GEN川凤仪#02,                                             无功功率Q,  0,                      WholeNet,Output11.txt,     4
1,     105,  501,                  XN-GEN川凤仪#03,                                             有功功率P,  0,                      WholeNet,Output11.txt,     5
1,     106,  501,                  XN-GEN川凤仪#03,                                             无功功率Q,  0,                      WholeNet,Output11.txt,     6
1,     107,  501,                 XN-GEN川福堂坝#01,                                             有功功率P,  0,                      WholeNet,Output11.txt,     7
1,     108,  501,                 XN-GEN川福堂坝#01,                                             无功功率Q,  0,                      WholeNet,Output11.txt,     8
1,     109,  501,                 XN-GEN川福堂坝#02,                                             有功功率P,  0,                      WholeNet,Output11.txt,     9
1,     110,  501,                 XN-GEN川福堂坝#02,                                             无功功率Q,  0,                      WholeNet,Output11.txt,    10
1,     111,  501,                 XN-GEN川福堂坝#03,                                             有功功率P,  0,                      WholeNet,Output12.txt,     1
1,     112,  501,                 XN-GEN川福堂坝#03,                                             无功功率Q,  0,                      WholeNet,Output12.txt,     2
1,     113,  501,                  XN-GEN川干坝子#1,                                             有功功率P,  0,                      WholeNet,Output12.txt,     3
1,     114,  501,                  XN-GEN川干坝子#1,                                             无功功率Q,  0,                      WholeNet,Output12.txt,     4
1,     115,  501,                   XN-GEN川耿达#1,                                             有功功率P,  0,                      WholeNet,Output12.txt,     5
1,     116,  501,                   XN-GEN川耿达#1,                                             无功功率Q,  0,                      WholeNet,Output12.txt,     6
1,     117,  501,                   XN-GEN川耿达#2,                                             有功功率P,  0,                      WholeNet,Output12.txt,     7
1,     118,  501,                   XN-GEN川耿达#2,                                             无功功率Q,  0,                      WholeNet,Output12.txt,     8
1,     119,  501,                   XN-GEN川耿达#3,                                             有功功率P,  0,                      WholeNet,Output12.txt,     9
1,     120,  501,                   XN-GEN川耿达#3,                                             无功功率Q,  0,                      WholeNet,Output12.txt,    10
1,     121,  501,                   XN-GEN川龚嘴上1,                                             有功功率P,  0,                      WholeNet,Output13.txt,     1
1,     122,  501,                   XN-GEN川龚嘴上1,                                             无功功率Q,  0,                      WholeNet,Output13.txt,     2
1,     123,  501,                   XN-GEN川龚嘴上2,                                             有功功率P,  0,                      WholeNet,Output13.txt,     3
1,     124,  501,                   XN-GEN川龚嘴上2,                                             无功功率Q,  0,                      WholeNet,Output13.txt,     4
1,     125,  501,                   XN-GEN川龚嘴上3,                                             有功功率P,  0,                      WholeNet,Output13.txt,     5
1,     126,  501,                   XN-GEN川龚嘴上3,                                             无功功率Q,  0,                      WholeNet,Output13.txt,     6
1,     127,  501,                   XN-GEN川龚嘴上4,                                             有功功率P,  0,                      WholeNet,Output13.txt,     7
1,     128,  501,                   XN-GEN川龚嘴上4,                                             无功功率Q,  0,                      WholeNet,Output13.txt,     8
1,     129,  501,                  XN-GEN川古学#01,                                             有功功率P,  0,                      WholeNet,Output13.txt,     9
1,     130,  501,                  XN-GEN川古学#01,                                             无功功率Q,  0,                      WholeNet,Output13.txt,    10
1,     131,  501,                  XN-GEN川古学#02,                                             有功功率P,  0,                      WholeNet,Output14.txt,     1
1,     132,  501,                  XN-GEN川古学#02,                                             无功功率Q,  0,                      WholeNet,Output14.txt,     2
1,     133,  501,                   XN-GEN川关州#1,                                             有功功率P,  0,                      WholeNet,Output14.txt,     3
1,     134,  501,                   XN-GEN川关州#1,                                             无功功率Q,  0,                      WholeNet,Output14.txt,     4
1,     135,  501,                   XN-GEN川关州#2,                                             有功功率P,  0,                      WholeNet,Output14.txt,     5
1,     136,  501,                   XN-GEN川关州#2,                                             无功功率Q,  0,                      WholeNet,Output14.txt,     6
1,     137,  501,                  XN-GEN川官地#01,                                             有功功率P,  0,                      WholeNet,Output14.txt,     7
1,     138,  501,                  XN-GEN川官地#01,                                             无功功率Q,  0,                      WholeNet,Output14.txt,     8
1,     139,  501,                  XN-GEN川官地#03,                                             有功功率P,  0,                      WholeNet,Output14.txt,     9
1,     140,  501,                  XN-GEN川官地#03,                                             无功功率Q,  0,                      WholeNet,Output14.txt,    10
1,     141,  501,                  XN-GEN川官地#04,                                             有功功率P,  0,                      WholeNet,Output15.txt,     1
1,     142,  501,                  XN-GEN川官地#04,                                             无功功率Q,  0,                      WholeNet,Output15.txt,     2
1,     143,  501,               XN-GEN川广安III#61,                                             有功功率P,  0,                      WholeNet,Output15.txt,     3
1,     144,  501,               XN-GEN川广安III#61,                                             无功功率Q,  0,                      WholeNet,Output15.txt,     4
1,     145,  501,                   XN-GEN川国如#1,                                             有功功率P,  0,                      WholeNet,Output15.txt,     5
1,     146,  501,                   XN-GEN川国如#1,                                             无功功率Q,  0,                      WholeNet,Output15.txt,     6
1,     147,  501,                 XN-GEN川汗牛河#01,                                             有功功率P,  0,                      WholeNet,Output15.txt,     7
1,     148,  501,                 XN-GEN川汗牛河#01,                                             无功功率Q,  0,                      WholeNet,Output15.txt,     8
1,     149,  501,                 XN-GEN川汗牛河#02,                                             有功功率P,  0,                      WholeNet,Output15.txt,     9
1,     150,  501,                 XN-GEN川汗牛河#02,                                             无功功率Q,  0,                      WholeNet,Output15.txt,    10
1,     151,  501,                  XN-GEN川汉阳#01,                                             有功功率P,  0,                      WholeNet,Output16.txt,     1
1,     152,  501,                  XN-GEN川汉阳#01,                                             无功功率Q,  0,                      WholeNet,Output16.txt,     2
1,     153,  501,                  XN-GEN川汉阳#02,                                             有功功率P,  0,                      WholeNet,Output16.txt,     3
1,     154,  501,                  XN-GEN川汉阳#02,                                             无功功率Q,  0,                      WholeNet,Output16.txt,     4
1,     155,  501,                  XN-GEN川汉阳#03,                                             有功功率P,  0,                      WholeNet,Output16.txt,     5
1,     156,  501,                  XN-GEN川汉阳#03,                                             无功功率Q,  0,                      WholeNet,Output16.txt,     6
1,     157,  501,                  XN-GEN川黑河塘81,                                             有功功率P,  0,                      WholeNet,Output16.txt,     7
1,     158,  501,                  XN-GEN川黑河塘81,                                             无功功率Q,  0,                      WholeNet,Output16.txt,     8
1,     159,  501,                  XN-GEN川黑河塘82,                                             有功功率P,  0,                      WholeNet,Output16.txt,     9
1,     160,  501,                  XN-GEN川黑河塘82,                                             无功功率Q,  0,                      WholeNet,Output16.txt,    10
1,     161,  501,                   XN-GEN川洪一#1,                                             有功功率P,  0,                      WholeNet,Output17.txt,     1
1,     162,  501,                   XN-GEN川洪一#1,                                             无功功率Q,  0,                      WholeNet,Output17.txt,     2
1,     163,  501,                   XN-GEN川洪一#2,                                             有功功率P,  0,                      WholeNet,Output17.txt,     3
1,     164,  501,                   XN-GEN川洪一#2,                                             无功功率Q,  0,                      WholeNet,Output17.txt,     4
1,     165,  501,                 XN-GEN川红房子#01,                                             有功功率P,  0,                      WholeNet,Output17.txt,     5
1,     166,  501,                 XN-GEN川红房子#01,                                             无功功率Q,  0,                      WholeNet,Output17.txt,     6
